Overlevelsesgrønlandsk.. og andre språk

Svensk 		| Hur många dagar tar det att resa till Arkangelsk och tillbaka
Russenorsk	| Mangoli dag tvoja reisa på Arkangelsk otsuda
Grønlandsk  | Arkangelskimut uterlugulu aqqutaa qanoq sivisutigiva?
Nordsamisk  | Galle beaivvi váldá Arkangelskis mannat
Lulesamisk  | Galla biejve válldá Arkangelskij mannat
Islandsk	| Hversu marga daga tekur það að ferðast til Arkangels og til baka?
Baskisk     | Zenbat egun Arkangelskara joateko eta itzultzeko behar da?
Tysk        | Wieviele Tage braucht man um nach Arkangelsk zu kommen und wieder zurück?
Spansk      | Cuantos días se necesitan para ir a Arkangelsk y volver?
Færøsk      | Hvussu nógvar dagar tekur tað at ferðast til Arkangelsk og aftur?

Svensk     | Hur är snön idag?
Norsk  	   | Hvordan er snøen idag?
Grønlandsk | Ullumi aput qanoq ippa?
Nordsamisk | Got muohta lea odne?
Lulesamisk | Gåk la muohta uddni?
Islandsk   | Hvernig er snjórinn í dag?
Baskisk	   | Nola da elurra gaur?
Tysk       | Wie ist der Schnee heute?
Spansk     | Como está la nieve hoy?
Færøsk     | Hvussu er kavin í dag?
Finsk      | Millaista lunta on tänään?

Norsk      | Snøen er bra/dårlig.
Grønlandsk | Aput ajunngilaq/ajorpoq
Nordsamisk | Muohta lea buorre/heittot.
Lulesamis  | Muohta la buorre
Svensk     | Snön är bra/dålig
Islandsk   | Snjórinn er góður/slæmur
Baskisk    | Elurra ona/txarra da.
Tysk       | Der Schnee ist gut/schlecht.
Spansk     | La nieve está bien/mal.
Færøsk     | Kavin er góður/ringur
Finsk      | Lumi on hyvää/huono

Nordsamisk  | Mon gurastan du čáhcái
Lulesamisk  | Mån håjggådav duv tjáhtjáj
Svensk 		| Jag kastar dej i vattnet
Russenorsk	| Moja kastom tvoja på vater
Islandsk 	| Ég fleygi þér í vatnið
Grønlandsk  | Imermut igippakkit
Baskisk		| Urara bota zaitut
Tysk        | Ich werfe dich ins Wasser
Spansk      | Te tiro al agua
Færøsk      | Eg kasti teg í vatnið
Finsk		| Heitän sinut veteen

Russenorsk	| Prinsipal på slipom
Svensk 		| Kaptenen sover
Nordsamisk  | Kapteaidna oađđá
Lulesamisk  | Kaptæjnna oadá
Grønlandsk  | Naalagaq sinippoq
Islandsk    | Skipstjórinn sefur
Tysk        | Der Kapitän schläft
Spansk      | El capitan está durmiendo
Færøsk      | Skiparin svevur
Finsk       | Kapteeni on nukkumassa

Tysk		| Hast du Hunger?
Baskisk		| Gose zara?
Spansk		| Tienes hambre?
Grønlandsk  | Kaappit?
Færøsk      | Ert tú svong(fem)?/svangur(mask)?
Islandsk    | Ertu svöng(fem)?/svangur(mask)?
Norsk       | Er du svolten?
Nordsamisk	| Leago dus nealgi?

Tysk		| Bist du schwanger?
Spansk		| Estás embarazada?
Baskisk		| Umedun zaude?
Svensk      | Har du en bulle i ugnen?
Grønlandsk  | Naartuit?
Færøsk      | Ert tú uppá vegin?
Islandsk    | Ertu ófrisk(ur)?
Norsk       | Er du på tjukken?

Grønlandsk  | Kaappunga
Tysk		| Ich habe Hunger
Spansk		| Tengo hambre
Baskisk		| Gose naiz
Norsk       | Eg er svolten
Færøsk      | Eg eri svong (fem)/svangur(mask)
Islandsk    | Ég er svöng (fem)/svangur(mask)
Finsk       | Minulla on nälkä
Nordsamisk 	| Mus lea nealgi
